ObservatoryIdentifier,ObservatoryName,LocationAddress,EnglishAddress,BasinIdentifier,CountyIdentifier,TownIdentifier,LocationXByTWD97,LocationXByTWD97,Elevation,DisuseStatus,Remarks,AgencyNameOfSite,Village,AffiliatedSubsidiaryBasin,AffiliatedSubSubsidiaryBasin,EquipementStatus,TransmissionEquipment
"01D310","新埔(1)","新竹縣新埔鎮中正路792號(新埔國中後面體育館)","No.792, Zhongzheng Rd., Xinpu Township, Hsinchu County","1290","19","1000403","257218.34","2746885.90","55.00","現存","","新竹縣立新埔國中","","129010","","自記式","是"
"01E030","橫龍山","苗栗縣泰安鄉錦水村10鄰橫龍山52號(橫龍山派出所)","No.52, Neighborhood10, Henglongshan, Jinshui Vil., Tai’An Township, Miaoli County","1350","12","1000518","246835.67","2707066.22","550.00","現存","","苗栗縣警察局大湖分局橫龍山派出所","錦水村","135010","","自記式","是"
"01E060","象鼻(1)","苗栗縣泰安鄉象鼻村1鄰13號(象鼻派出所)","No.13, Xiangbi, Tai’An Township, Miaoli County","1400","12","1000518","244767.00","2694941.00","658","現存","","象鼻派出所","象鼻村","140010","","自記式","是"
"01E080","松安","苗栗縣泰安鄉梅園村","Meiyuan, Tai’An Township, Miaoli County","1400","12","1000518","248582.00","2699079.00","1308","現存","","林務局","梅園村","140010","","自記式","是"
"01E120","大埔","苗栗縣竹南鎮大埔里仁愛路867號(水利會工作站屋頂)","No.867, Ren’Ai Rd.,Dapu Vil., Zhunan Township, Miaoli County","1310","12","1000504","239701.56","2733602.39","42.00","現存","","苗栗縣農田水利會大埔工作站","大埔里","","","自記式","是"
"01E170","南庄(1)","苗栗縣南庄鄉東村大同路3號(南庄鄉公所)","No.3, Datong Rd., Dong Vil., Nanzhuang Township, Miaoli County","1340","12","1000511","250036.47","2721146.53","229.00","現存","","南庄鄉公所","東村","134010","","自記式","是"
"01E230","卓蘭(2)","臺中市東勢區東蘭路","Donglan Rd., Dongshi Dist., Taichung City","1400","1","6601000","231040.00","2688820.00","335","現存","","蘭勢大橋旁","","140010","","自記式","是"
"01E240","珊珠湖","苗栗縣頭份鎮流東里信德路58號","No.58, Xinde Rd., Liudong Vil., Toufen Township, Miaoli County","1340","12","1000505","245979.98","2731111.98","45.00","現存","","苗栗縣立信德國小","流東里","134010","","自記式","是"
"01E270","大湖(1)","苗栗縣大湖鄉民族路42號","No.42, Minzu Rd., Dahu Township, Miaoli County","1350","12","1000508","236800.37","2701948.45","275.00","現存","","農委會苗栗農業改良場天敵繁殖分場","","135010","","自記式","是"
"01E290","三義(2)","苗栗縣三義鄉廣盛村80號","No.80, Guangsheng  Vil., Sanyi Township, Miaoli County","1360","12","1000513","226677.72","2700921.50","269.00","現存","","建中國小","廣盛村","","","自記式","是"
"01E310","南勢山","苗栗縣後龍鎮中和里14鄰152號","No.152, Neighborhood14,Zhonghe Vil., Houlong Township, Miaoli County","1360","12","1000506","223192.69","2720170.54","95.00","現存","","苗栗縣立中和國小","中和里","","","自記式","是"
"01E330","大坪頂","苗栗縣通霄鎮福興里58-2號","No.58-2, Fuxingvil., Tongxiao Township, Miaoli County","1370","12","1000503","222392.75","2702173.81","190.00","現存","","福興國小","福興里","","","自記式","是"
"01E370","和興","苗栗縣獅潭鄉和興村8鄰4號","No.4,Neighborhood8 ,Hexingvil., Shitan Township, Miaoli County","1350","12","1000517","241195.59","2713506.46","203.00","現存","","私有","和興村","135010","","自記式","是"
"01E380","大河","苗栗縣三灣鄉大河村64號","No.64, Dahe Vil., Sanwan Township, Miaoli County","1340","12","1000516","244564.47","2723422.00","103.00","現存","","大河國小","大河村","134010","","自記式","是"
"01E390","大潭","苗栗縣造橋鄉龍昇村新庄子10之7","No.10-7, Xinzhuangzai,Longsheng Vil., Zaoqiao Township, Miaoli County","1340","12","1000515","231857.29","2725392.09","30.00","現存","","苗栗縣農田水利會大潭工作站","龍昇村","134010","","自記式","是"
"01F100","八仙山(1)","臺中市和平區裡冷溪林道八仙山","Sec. 1, Dongguan Rd., Heping Dist., Taichung City","1420","1","6602900","249503.26","2668997.17","1600.00","現存","","","","","","",""
"01F350","雪嶺","臺中市和平區東勢林區管理處小雪山山莊","Sec. 1, Dongguan Rd., Heping Dist., Taichung City","1400","1","6602900","252588.00","2685985.00","2575","現存","","東勢林區管理處小雪山山莊","","140010","","自記式","是"
"01F680","頭汴坑","臺中市太平區東汴里山田路10號(陳平利果園)","No.10, Shantian Rd., Taiping Dist., Taichung City","1430","1","6602700","230799.00","2667784.00","477","現存","","陳平利果園","東汴里","143010","143011","自記式","是"
"01G090","頭汴","彰化縣鹿港鎮頂番里彰草路(水利會頭汴工作站)","Zhangcao Rd., Lugang Township, Changhua County","1450","22","1000702","197536.32","2664566.14","7.00","現存","","鹿港工作站","頂番里","","","自記式","是"
"01G240","萬興(2)","彰化縣二林鎮萬興里(水利會萬興工作站)","Wanxing Vil., Erlin Township, Changhua County","1480","22","1000720","190660.93","2650207.74","11.00","現存","","水利會萬興工作站","萬興里","","","自記式","是"
"01H110","桶頭(2)","南投縣竹山鎮桶頭里活動中心","Tongtou Vil., Zhushan Township, Nantou County","1510","10","1000804","215068.88","2615712.09","231.00","現存","","桶頭里活動中心","桶頭里","151010","151011","自記式","是"
"01H210","翠巒","南投縣仁愛鄉翠華村翠巒路21號","No.21, Cuiluan Rd., Ren’Ai Township, Nantou County","1430","10","1000813","270676.23","2675256.80","1590","現存","","","翠華村","143010","143011","自記式","是"
"01H310","翠峰","南投縣仁愛鄉大同村翠峰派出所","Datong Vil., Ren’Ai Township, Nantou County","1510","10","1000813","270259.24","2666886.82","2303.00","現存","","翠峰派出所","大同村","151010","151011","自記式","是"
"01H390","望鄉","南投縣信義鄉望美村(林務局望鄉工作站)","Wangmei Vil., Xinyi Township, Nantou County","1510","10","1000812","242634.55","2612861.26","2200.00","現存","","林務局望鄉工作站","望美村","151010","151011","自記式","否"
"01H400","東埔","南投縣信義鄉東埔村(東埔派出所)","Dongpu Vil., Xinyi Township, Nantou County","1510","10","1000812","242685.28","2606500.84","1135.00","現存","","東埔派出所","東埔村","151010","151011","自記式","是"
"01H440","卡奈托灣(2)","南投縣信義鄉卡奈托灣(三分所)","Kanaituowan, Xinyi Township, Nantou County","1510","10","1000812","259336.86","2627214.54","1390.00","廢站","","3分所","","151010","151011","自記式","否"
"01H450","關門","南投縣信義鄉關門(十九林班)","Guanmen, Xinyi Township, Nantou County","1510","10","1000812","268262.63","2624683.19","2000.00","廢站","","19林班地","","151010","151011","自記式","否"
"01H470","西巒","南投縣信義鄉人倫17林班苗圃","Renlun, Xinyi Township, Nantou County","1510","10","1000812","241603.51","2622973.50","1666.00","現存","","人倫17林班苗圃","","151010","151011","自記式","否"
"01H590","六分寮","南投縣南投市鳳鳴里八卦路839號(鳳鳴社區活動中心)","No.839, Bagua Rd., Nantou City, Nantou County","1430","10","1000801","213149.00","2646897.00","427","現存","","鳳鳴社區活動中心","鳳鳴里","143010","143011","自記式","是"
